alphaF,Group Pair,ω,FIC,Tier
0.2,Africa - North America,0.0690232302908359,0.6548838485458205,Acceptable
0.2,Africa - Arab/Middle East,0.009239292255776799,0.953803538721116,Optimum
0.2,South America - Asia,0.01683879320727455,0.9158060339636273,Optimum
0.2,South America - EU,0.08290890989624866,0.5854554505187567,Acceptable
0.2,South America - Oceania,0.03454080545493288,0.8272959727253356,Optimum
0.2,South America - North America,0.034890455804583165,0.8255477209770842,Optimum
0.2,South America - Arab/Middle East,0.02489348223047594,0.8755325888476203,Optimum
0.2,Asia - EU,0.09974770310352321,0.501261484482384,Acceptable
0.2,Asia - Oceania,0.051379598662207426,0.7431020066889629,Acceptable
0.2,Asia - North America,0.051729249011857714,0.7413537549407114,Acceptable
0.2,Asia - Arab/Middle East,0.008054689023201389,0.959726554883993,Optimum
0.2,EU - Oceania,0.048368104441315785,0.7581594777934211,Optimum
0.2,EU - North America,0.0480184540916655,0.7599077295416725,Optimum
0.2,EU - Arab/Middle East,0.1078023921267246,0.460988039366377,Questionable
0.2,Oceania - North America,0.00034965034965028785,0.9982517482517486,Optimum
0.2,Oceania - Arab/Middle East,0.059434287685408815,0.7028285615729559,Acceptable
0.2,North America - Arab/Middle East,0.0597839380350591,0.7010803098247045,Acceptable
